Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
27 Lac ,Ready to Move,Resale,Unfurnished,,,,2700000.0,375.0,3.0,1.0,1.0,0.0,thane,7200.0
63 Lac ,Ready to Move,Resale,Unfurnished,North,"Garden/Park, Main Road",Freehold,6300000.0,435.0,8.0,2.0,3.0,1.0,thane,14482.758620689656
84 Lac ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Co-operative Society,8400000.0,650.0,7.0,2.0,0.0,1.0,thane,12923.076923076924
75 Lac ,Ready to Move,Resale,Furnished,,,Freehold,7500000.0,450.0,1.0,1.0,1.0,1.0,thane,16666.666666666668
39 Lac ,Ready to Move,Resale,Unfurnished,North - East,,Freehold,3900000.0,511.0,5.0,1.0,1.0,0.0,thane,7632.093933463797
17 Lac ,Ready to Move,Resale,Semi-Furnished,North - East,Main Road,Co-operative Society,1700000.0,387.0,0.0,1.0,0.0,0.0,thane,4392.764857881137
39.9 Lac ,Ready to Move,Resale,Unfurnished,East,,,3990000.0,585.0,4.0,2.0,0.0,0.0,thane,6820.51282051282
1.54 Cr ,Ready to Move,New Property,Unfurnished,North - East,Garden/Park,Freehold,15400000.0,702.0,2.0,2.0,1.0,1.0,thane,21937.321937321936
45 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,4500000.0,440.0,5.0,1.0,3.0,1.0,thane,10227.272727272728
95 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,9500000.0,663.0,18.0,2.0,1.0,0.0,thane,14328.808446455505
82 Lac ,Ready to Move,Resale,Unfurnished,,,,8200000.0,453.0,6.0,2.0,0.0,0.0,thane,18101.545253863136
15 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,,1500000.0,415.0,1.0,1.0,1.0,0.0,thane,3614.4578313253014
30 Lac ,Ready to Move,Resale,Furnished,East,,Leasehold,3000000.0,475.0,2.0,1.0,2.0,0.0,thane,6315.789473684211
25 Lac ,Ready to Move,Resale,Unfurnished,,,,2500000.0,500.0,7.0,1.0,2.0,0.0,thane,5000.0
47 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,4700000.0,330.0,9.0,1.0,0.0,1.0,thane,14242.424242424242
85 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Co-operative Society,8500000.0,650.0,5.0,2.0,0.0,1.0,thane,13076.923076923076
1.05 Cr ,Ready to Move,Resale,Unfurnished,,,,10500000.0,1332.0,12.0,2.0,0.0,0.0,thane,7882.882882882883
1.90 Cr ,Ready to Move,Resale,Semi-Furnished,North - East,Main Road,Freehold,19000000.0,1011.0,6.0,3.0,0.0,1.0,thane,18793.273986152326
45 Lac ,Ready to Move,Resale,Unfurnished,,,,4500000.0,800.0,2.0,2.0,0.0,0.0,thane,5625.0
70 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7000000.0,650.0,1.0,2.0,0.0,0.0,thane,10769.23076923077
32.5 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3250000.0,500.0,8.0,1.0,3.0,0.0,thane,6500.0
1.10 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,11000000.0,650.0,20.0,2.0,1.0,1.0,thane,16923.076923076922
42 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4200000.0,465.0,2.0,1.0,0.0,0.0,thane,9032.258064516129
70 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7000000.0,700.0,2.0,2.0,0.0,0.0,thane,10000.0
3 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,30000000.0,1190.0,5.0,3.0,1.0,2.0,thane,25210.084033613446
24 Lac ,Ready to Move,Resale,Semi-Furnished,,,,2400000.0,420.0,4.0,1.0,0.0,0.0,thane,5714.285714285715
2.11 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,21100000.0,790.0,18.0,2.0,2.0,1.0,thane,26708.86075949367
20 Lac ,Ready to Move,Resale,Unfurnished,East,,Freehold,2000000.0,615.0,3.0,1.0,3.0,1.0,thane,3252.032520325203
36 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,3600000.0,450.0,2.0,1.0,2.0,0.0,thane,8000.0
1.95 Cr ,Ready to Move,Resale,Unfurnished,North,"Garden/Park, Pool",Freehold,19500000.0,1090.0,10.0,3.0,2.0,1.0,thane,17889.908256880735
50 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Co-operative Society,5000000.0,400.0,5.0,1.0,1.0,0.0,thane,12500.0
13 Lac ,Ready to Move,Resale,Unfurnished,,,,1300000.0,385.0,2.0,2.0,0.0,0.0,thane,3376.6233766233768
27 Lac ,Ready to Move,Resale,Furnished,,,,2700000.0,400.0,3.0,1.0,0.0,0.0,thane,6750.0
63 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,6300000.0,438.0,6.0,1.0,3.0,1.0,thane,14383.561643835616
1.55 Cr ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Co-operative Society,15500000.0,833.0,19.0,2.0,2.0,0.0,thane,18607.442977190876
1 Cr ,Ready to Move,Resale,Unfurnished,North,,Freehold,10000000.0,900.0,5.0,3.0,1.0,1.0,thane,11111.111111111111
1.20 Cr ,Ready to Move,Resale,Furnished,,,,12000000.0,1050.0,5.0,2.0,0.0,0.0,thane,11428.57142857143
1.20 Cr ,Ready to Move,Resale,Semi-Furnished,,,,12000000.0,1135.0,16.0,2.0,0.0,0.0,thane,10572.687224669604
1.20 Cr ,Ready to Move,Resale,Semi-Furnished,,,,12000000.0,1100.0,17.0,2.0,0.0,0.0,thane,10909.09090909091
1.30 Cr ,Ready to Move,Resale,Furnished,,,,13000000.0,1165.0,5.0,2.0,0.0,0.0,thane,11158.798283261802
3 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,30000000.0,1300.0,14.0,3.0,3.0,2.0,thane,23076.923076923078
1.10 Cr ,Ready to Move,,Semi-Furnished,,,,11000000.0,518.0,,2.0,0.0,0.0,thane,21235.521235521235
28 Lac ,Ready to Move,Resale,Unfurnished,,,,2800000.0,735.0,1.0,2.0,0.0,0.0,thane,3809.5238095238096
