Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
1.29 Cr ,Ready to Move,Resale,Unfurnished,North,"Garden/Park, Pool, Main Road",Co-operative Society,12900000.0,660.0,15.0,2.0,1.0,0.0,navi-mumbai,19545.454545454544
1.30 Cr ,Ready to Move,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Co-operative Society,13000000.0,826.0,20.0,2.0,3.0,1.0,navi-mumbai,15738.498789346248
3.15 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,31500000.0,870.0,7.0,2.0,2.0,1.0,navi-mumbai,36206.89655172414
1.42 Cr ,Ready to Move,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Co-operative Society,14200000.0,1350.0,10.0,2.0,4.0,0.0,navi-mumbai,10518.518518518518
42 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4200000.0,468.0,1.0,1.0,1.0,0.0,navi-mumbai,8974.358974358975
85 Lac ,Ready to Move,Resale,Unfurnished,,,,8500000.0,1170.0,10.0,2.0,0.0,0.0,navi-mumbai,7264.957264957265
85 Lac ,Ready to Move,Resale,Unfurnished,,,,8500000.0,1200.0,9.0,2.0,0.0,0.0,navi-mumbai,7083.333333333333
2.60 Cr ,Ready to Move,Resale,Semi-Furnished,,,,26000000.0,1500.0,1.0,3.0,0.0,0.0,navi-mumbai,17333.333333333332
4.50 Cr ,Ready to Move,Resale,Semi-Furnished,North - East,Pool,Co-operative Society,45000000.0,1352.0,,3.0,3.0,1.0,navi-mumbai,33284.023668639056
1.25 Cr ,Ready to Move,Resale,Furnished,East,Main Road,Co-operative Society,12500000.0,1200.0,4.0,2.0,3.0,1.0,navi-mumbai,10416.666666666666
1.35 Cr ,Ready to Move,Resale,Unfurnished,North - East,Main Road,Freehold,13500000.0,1100.0,3.0,3.0,3.0,1.0,navi-mumbai,12272.727272727272
65 Lac ,Ready to Move,Resale,Unfurnished,North - East,Main Road,Freehold,6500000.0,650.0,3.0,2.0,2.0,0.0,navi-mumbai,10000.0
64 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Co-operative Society,6400000.0,455.0,3.0,1.0,2.0,0.0,navi-mumbai,14065.934065934065
45 Lac ,Ready to Move,New Property,Unfurnished,,,,4500000.0,640.0,4.0,1.0,0.0,0.0,navi-mumbai,7031.25
1.60 Cr ,Ready to Move,Resale,Unfurnished,,,,16000000.0,1750.0,8.0,3.0,0.0,0.0,navi-mumbai,9142.857142857143
1.62 Cr ,Ready to Move,New Property,Unfurnished,,,,16200000.000000002,1550.0,9.0,3.0,0.0,0.0,navi-mumbai,10451.612903225807
1.35 Cr ,Ready to Move,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Freehold,13500000.0,850.0,18.0,2.0,3.0,1.0,navi-mumbai,15882.35294117647
55 Lac ,Ready to Move,Resale,Semi-Furnished,West,"Garden/Park, Main Road",Co-operative Society,5500000.0,360.0,9.0,1.0,1.0,0.0,navi-mumbai,15277.777777777777
39 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Co-operative Society,3900000.0,630.0,4.0,1.0,0.0,0.0,navi-mumbai,6190.476190476191
78 Lac ,Ready to Move,Resale,Furnished,East,,Co-operative Society,7800000.0,685.0,1.0,1.0,2.0,0.0,navi-mumbai,11386.861313868612
1.38 Cr ,Ready to Move,Resale,Furnished,North - East,Main Road,Co-operative Society,13799999.999999998,819.0,,2.0,3.0,1.0,navi-mumbai,16849.81684981685
67 Lac ,Ready to Move,Resale,Unfurnished,,,,6700000.0,740.0,15.0,2.0,3.0,0.0,navi-mumbai,9054.054054054053
22 Lac ,Ready to Move,Resale,Unfurnished,,,,2200000.0,350.0,3.0,1.0,0.0,0.0,navi-mumbai,6285.714285714285
1.86 Cr ,Ready to Move,Resale,Semi-Furnished,North,"Pool, Garden/Park, Main Road",Co-operative Society,18600000.0,790.0,9.0,2.0,2.0,1.0,navi-mumbai,23544.303797468354
65 Lac ,Ready to Move,Resale,Unfurnished,,,,6500000.0,1000.0,2.0,2.0,0.0,0.0,navi-mumbai,6500.0
30 Lac ,Ready to Move,Resale,Unfurnished,,,,3000000.0,425.0,3.0,1.0,1.0,0.0,navi-mumbai,7058.823529411765
53 Lac ,Ready to Move,Resale,Semi-Furnished,North,Main Road,Freehold,5300000.0,682.0,-1.0,2.0,4.0,1.0,navi-mumbai,7771.260997067448
65.5 Lac ,Ready to Move,Resale,Unfurnished,,,,6550000.0,1069.0,3.0,2.0,0.0,0.0,navi-mumbai,6127.221702525725
30 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3000000.0,595.0,2.0,2.0,0.0,0.0,navi-mumbai,5042.016806722689
90 Lac ,Ready to Move,Resale,Unfurnished,,,,9000000.0,850.0,1.0,2.0,0.0,0.0,navi-mumbai,10588.235294117647
1.58 Cr ,Ready to Move,Resale,Furnished,East,"Pool, Garden/Park",Co-operative Society,15800000.0,785.0,8.0,2.0,2.0,1.0,navi-mumbai,20127.38853503185
80 Lac ,Ready to Move,New Property,Unfurnished,,Main Road,Freehold,8000000.0,686.0,22.0,2.0,0.0,0.0,navi-mumbai,11661.807580174927
21.6 Lac ,Ready to Move,New Property,Unfurnished,,,,2160000.0,360.0,,2.0,0.0,1.0,navi-mumbai,6000.0
1.60 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Leasehold,16000000.0,750.0,25.0,2.0,2.0,0.0,navi-mumbai,21333.333333333332
40 Lac ,Ready to Move,Resale,,,,,4000000.0,600.0,2.0,1.0,0.0,0.0,navi-mumbai,6666.666666666667
68 Lac ,Ready to Move,Resale,,,,,6800000.0,330.0,1.0,1.0,0.0,0.0,navi-mumbai,20606.060606060608
3.99 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,39900000.0,1360.0,12.0,3.0,4.0,1.0,navi-mumbai,29338.235294117647
1.30 Cr ,Ready to Move,Resale,,,,,13000000.0,1031.0,1.0,2.0,0.0,0.0,navi-mumbai,12609.117361784674
1.40 Cr ,Ready to Move,Resale,,,,,14000000.0,1100.0,2.0,2.0,0.0,0.0,navi-mumbai,12727.272727272728
55 Lac ,Ready to Move,Resale,,,,,5500000.0,750.0,3.0,1.0,0.0,0.0,navi-mumbai,7333.333333333333
1.05 Cr ,Ready to Move,Resale,Unfurnished,North - East,Main Road,Freehold,10500000.0,880.0,1.0,3.0,2.0,1.0,navi-mumbai,11931.818181818182
1.10 Cr ,Ready to Move,New Property,Unfurnished,West,Main Road,Freehold,11000000.0,1600.0,11.0,3.0,5.0,0.0,navi-mumbai,6875.0
60 Lac ,Ready to Move,Resale,Semi-Furnished,,"Garden/Park, Main Road",Co-operative Society,6000000.0,516.0,6.0,1.0,1.0,0.0,navi-mumbai,11627.906976744185
50 Lac ,Ready to Move,Resale,Furnished,,,,5000000.0,430.0,3.0,2.0,3.0,0.0,navi-mumbai,11627.906976744185
67 Lac ,Ready to Move,Resale,Furnished,East,,,6700000.0,426.0,6.0,2.0,0.0,0.0,navi-mumbai,15727.699530516433
1.50 Cr ,Ready to Move,Resale,Furnished,East,"Garden/Park, Pool",Leasehold,15000000.0,750.0,10.0,2.0,3.0,1.0,navi-mumbai,20000.0
65 Lac ,Ready to Move,Resale,Furnished,North,Main Road,Freehold,6500000.0,450.0,7.0,2.0,2.0,0.0,navi-mumbai,14444.444444444445
65 Lac ,Ready to Move,Resale,Unfurnished,,Garden/Park,Freehold,6500000.0,1246.0,19.0,2.0,2.0,0.0,navi-mumbai,5216.69341894061
52 Lac ,Ready to Move,Resale,Unfurnished,,,Freehold,5200000.0,550.0,3.0,1.0,3.0,5.0,navi-mumbai,9454.545454545454
80 Lac ,Ready to Move,Resale,Semi-Furnished,,,,8000000.0,800.0,14.0,2.0,0.0,0.0,navi-mumbai,10000.0
84 Lac ,Ready to Move,Resale,Unfurnished,,,,8400000.0,990.0,5.0,2.0,0.0,0.0,navi-mumbai,8484.848484848484
85 Lac ,Ready to Move,Resale,Unfurnished,,,,8500000.0,1150.0,7.0,2.0,0.0,0.0,navi-mumbai,7391.304347826087
1.15 Cr ,Ready to Move,Resale,Semi-Furnished,,,,11500000.0,1100.0,6.0,2.0,0.0,0.0,navi-mumbai,10454.545454545454
1.25 Cr ,Ready to Move,Resale,Unfurnished,,,,12500000.0,1100.0,9.0,2.0,0.0,0.0,navi-mumbai,11363.636363636364
1.30 Cr ,Ready to Move,Resale,Semi-Furnished,,,,13000000.0,1200.0,9.0,2.0,0.0,0.0,navi-mumbai,10833.333333333334
1.30 Cr ,Ready to Move,Resale,Unfurnished,,,,13000000.0,1100.0,7.0,2.0,0.0,0.0,navi-mumbai,11818.181818181818
1.30 Cr ,Ready to Move,Resale,Semi-Furnished,,,,13000000.0,1150.0,7.0,2.0,0.0,0.0,navi-mumbai,11304.347826086956
95 Lac ,Ready to Move,Resale,Unfurnished,,,,9500000.0,1100.0,11.0,2.0,0.0,0.0,navi-mumbai,8636.363636363636
95 Lac ,Ready to Move,Resale,Unfurnished,,,,9500000.0,1100.0,2.0,2.0,0.0,0.0,navi-mumbai,8636.363636363636
39 Lac ,Ready to Move,Resale,Unfurnished,,,,3900000.0,325.0,4.0,1.0,0.0,0.0,navi-mumbai,12000.0
85 Lac ,Ready to Move,Resale,Furnished,,,,8500000.0,450.0,1.0,1.0,0.0,0.0,navi-mumbai,18888.88888888889
2.30 Cr ,Ready to Move,Resale,Unfurnished,,,,23000000.0,1400.0,16.0,3.0,2.0,0.0,navi-mumbai,16428.571428571428
80 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Leasehold,8000000.0,527.0,2.0,2.0,2.0,0.0,navi-mumbai,15180.265654648956
55 Lac ,Ready to Move,Resale,Semi-Furnished,,,,5500000.0,1000.0,5.0,2.0,0.0,0.0,navi-mumbai,5500.0
1.25 Cr ,Ready to Move,Resale,Furnished,East,Main Road,Freehold,12500000.0,1350.0,2.0,3.0,4.0,1.0,navi-mumbai,9259.25925925926
1.30 Cr ,Ready to Move,Resale,,,,,13000000.0,1050.0,1.0,2.0,0.0,0.0,navi-mumbai,12380.952380952382
60 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Co-operative Society,6000000.0,305.0,1.0,1.0,1.0,0.0,navi-mumbai,19672.131147540982
1.53 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,15300000.0,700.0,9.0,2.0,2.0,1.0,navi-mumbai,21857.14285714286
98 Lac ,Ready to Move,Resale,Semi-Furnished,,,,9800000.0,1150.0,13.0,2.0,0.0,0.0,navi-mumbai,8521.739130434782
92 Lac ,Ready to Move,Resale,Unfurnished,,,,9200000.0,1150.0,5.0,2.0,0.0,0.0,navi-mumbai,8000.0
49 Lac ,Ready to Move,Resale,Unfurnished,,,,4900000.0,615.0,1.0,2.0,3.0,0.0,navi-mumbai,7967.4796747967475
1.25 Cr ,Ready to Move,Resale,Furnished,,,,12500000.0,752.0,2.0,2.0,0.0,0.0,navi-mumbai,16622.340425531915
37 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3700000.0,455.0,-1.0,1.0,1.0,0.0,navi-mumbai,8131.868131868132
45 Lac ,Ready to Move,Resale,,,,,4500000.0,705.0,7.0,2.0,0.0,0.0,navi-mumbai,6382.978723404255
1.73 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,17300000.0,1050.0,8.0,3.0,3.0,1.0,navi-mumbai,16476.190476190477
1.50 Cr ,Ready to Move,Resale,Unfurnished,North - East,Main Road,Freehold,15000000.0,1050.0,8.0,3.0,3.0,2.0,navi-mumbai,14285.714285714286
1.20 Cr ,Ready to Move,Resale,,,,,12000000.0,1200.0,2.0,2.0,0.0,0.0,navi-mumbai,10000.0
3.60 Cr ,Ready to Move,Resale,,,,,36000000.0,1880.0,11.0,3.0,0.0,0.0,navi-mumbai,19148.936170212764
1.62 Cr ,Ready to Move,Resale,,,,,16200000.000000002,3250.0,-1.0,4.0,0.0,0.0,navi-mumbai,4984.615384615385
9.49 Cr ,Ready to Move,Resale,,,,,94900000.0,4500.0,15.0,4.0,0.0,0.0,navi-mumbai,21088.88888888889
2 Cr ,Ready to Move,Resale,,,,,20000000.0,1450.0,4.0,2.0,0.0,0.0,navi-mumbai,13793.103448275862
85 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Co-operative Society,8500000.0,650.0,1.0,1.0,0.0,0.0,navi-mumbai,13076.923076923076
45 Lac ,Ready to Move,Resale,,,,,4500000.0,770.0,2.0,1.0,0.0,0.0,navi-mumbai,5844.1558441558445
66 Lac ,Ready to Move,Resale,,,,,6600000.0,960.0,6.0,2.0,0.0,0.0,navi-mumbai,6875.0
52 Lac ,Ready to Move,Resale,,,,,5200000.0,700.0,3.0,1.0,0.0,0.0,navi-mumbai,7428.571428571428
47 Lac ,Ready to Move,Resale,,,,,4700000.0,750.0,0.0,1.0,0.0,0.0,navi-mumbai,6266.666666666667
40 Lac ,Ready to Move,Resale,,,,,4000000.0,575.0,3.0,1.0,0.0,0.0,navi-mumbai,6956.521739130435
2.50 Cr ,Ready to Move,Resale,,,,,25000000.0,1200.0,2.0,2.0,0.0,0.0,navi-mumbai,20833.333333333332
1.80 Cr ,Ready to Move,Resale,,,,,18000000.0,700.0,3.0,2.0,0.0,0.0,navi-mumbai,25714.285714285714
95 Lac ,Ready to Move,Resale,,,,,9500000.0,530.0,0.0,1.0,0.0,0.0,navi-mumbai,17924.528301886792
52 Lac ,Ready to Move,Resale,Unfurnished,East,,,5200000.0,573.0,3.0,1.0,1.0,0.0,navi-mumbai,9075.043630017452
1.05 Cr ,Ready to Move,Resale,Unfurnished,North - East,Main Road,Leasehold,10500000.0,760.0,15.0,2.0,3.0,1.0,navi-mumbai,13815.78947368421
4.50 Cr ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Freehold,45000000.0,1300.0,25.0,3.0,2.0,0.0,navi-mumbai,34615.38461538462
87.5 Lac ,Ready to Move,Resale,Unfurnished,North,"Garden/Park, Main Road",Freehold,8750000.0,680.0,,2.0,3.0,1.0,navi-mumbai,12867.64705882353
47 Lac ,Ready to Move,Resale,Unfurnished,,,,4700000.0,586.0,1.0,1.0,0.0,0.0,navi-mumbai,8020.477815699659
95 Lac ,Ready to Move,Resale,Unfurnished,,,,9500000.0,1119.0,11.0,2.0,0.0,0.0,navi-mumbai,8489.722966934763
60 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",Co-operative Society,6000000.0,435.0,5.0,2.0,2.0,1.0,navi-mumbai,13793.103448275862
83 Lac ,Ready to Move,Resale,Semi-Furnished,,,Freehold,8300000.0,1100.0,2.0,2.0,0.0,0.0,navi-mumbai,7545.454545454545
50 Lac ,Ready to Move,Resale,Furnished,,,,5000000.0,430.0,4.0,1.0,1.0,0.0,navi-mumbai,11627.906976744185
25 Lac ,Ready to Move,Resale,Semi-Furnished,,,,2500000.0,210.0,2.0,1.0,0.0,0.0,navi-mumbai,11904.761904761905
2.50 Cr ,Ready to Move,Resale,Semi-Furnished,,,,25000000.0,1850.0,10.0,3.0,2.0,0.0,navi-mumbai,13513.513513513513
86 Lac ,Ready to Move,Resale,Unfurnished,,,,8600000.0,1170.0,2.0,2.0,0.0,0.0,navi-mumbai,7350.427350427351
85 Lac ,Ready to Move,Resale,Unfurnished,,,,8500000.0,1200.0,5.0,2.0,0.0,0.0,navi-mumbai,7083.333333333333
65 Lac ,Ready to Move,Resale,Semi-Furnished,,,,6500000.0,650.0,3.0,1.0,0.0,0.0,navi-mumbai,10000.0
1.12 Cr ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,11200000.000000002,717.0,6.0,2.0,0.0,0.0,navi-mumbai,15620.641562064158
37 Lac ,Ready to Move,Resale,Unfurnished,,,,3700000.0,640.0,4.0,1.0,0.0,0.0,navi-mumbai,5781.25
38 Lac ,Ready to Move,Resale,Unfurnished,,Garden/Park,Freehold,3800000.0,525.0,0.0,1.0,1.0,0.0,navi-mumbai,7238.0952380952385
30 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3000000.0,220.0,4.0,2.0,1.0,0.0,navi-mumbai,13636.363636363636
79 Lac ,Ready to Move,Resale,Furnished,North,,Freehold,7900000.0,480.0,1.0,1.0,1.0,1.0,navi-mumbai,16458.333333333332
40 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4000000.0,721.0,3.0,2.0,0.0,0.0,navi-mumbai,5547.850208044383
40 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4000000.0,410.0,6.0,1.0,3.0,0.0,navi-mumbai,9756.09756097561
54 Lac ,Ready to Move,Resale,Furnished,,,,5400000.0,420.0,4.0,2.0,0.0,0.0,navi-mumbai,12857.142857142857
45 Lac ,Ready to Move,Resale,Unfurnished,,,,4500000.0,1110.0,3.0,2.0,2.0,0.0,navi-mumbai,4054.054054054054
60 Lac ,Ready to Move,Resale,Semi-Furnished,,,,6000000.0,850.0,1.0,2.0,0.0,0.0,navi-mumbai,7058.823529411765
85 Lac ,Ready to Move,Resale,Unfurnished,,,,8500000.0,1100.0,11.0,2.0,0.0,0.0,navi-mumbai,7727.272727272727
1 Cr ,Ready to Move,Resale,Unfurnished,,,,10000000.0,1100.0,4.0,2.0,0.0,0.0,navi-mumbai,9090.90909090909
65 Lac ,Ready to Move,Resale,Unfurnished,,Main Road,Freehold,6500000.0,363.0,4.0,1.0,1.0,0.0,navi-mumbai,17906.33608815427
60 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,6000000.0,750.0,7.0,1.0,3.0,1.0,navi-mumbai,8000.0
75 Lac ,Ready to Move,Resale,Unfurnished,,,Co-operative Society,7500000.0,700.0,4.0,2.0,2.0,0.0,navi-mumbai,10714.285714285714
2.10 Cr ,Ready to Move,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",Freehold,21000000.0,750.0,,2.0,2.0,1.0,navi-mumbai,28000.0
58 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Freehold,5800000.0,430.0,5.0,1.0,2.0,0.0,navi-mumbai,13488.372093023256
60 Lac ,Ready to Move,Resale,Furnished,,,,6000000.0,750.0,3.0,2.0,1.0,0.0,nagpur,8000.0
90 Lac ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,9000000.0,1022.0,5.0,3.0,2.0,0.0,nagpur,8806.262230919765
45 Lac ,Ready to Move,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,4500000.0,900.0,4.0,2.0,2.0,1.0,nagpur,5000.0
75 Lac ,Ready to Move,New Property,Semi-Furnished,East,Main Road,Freehold,7500000.0,1475.0,2.0,3.0,3.0,0.0,nagpur,5084.745762711865
51 Lac ,Ready to Move,Resale,Semi-Furnished,,,,5100000.0,1200.0,3.0,2.0,0.0,0.0,nagpur,4250.0
55 Lac ,Ready to Move,Resale,Furnished,,,,5500000.0,1000.0,2.0,2.0,1.0,0.0,nagpur,5500.0
65 Lac ,Ready to Move,Resale,Furnished,,,,6500000.0,1117.0,4.0,2.0,0.0,0.0,nagpur,5819.158460161146
48 Lac ,Ready to Move,New Property,Furnished,North,Main Road,Freehold,4800000.0,750.0,1.0,2.0,2.0,1.0,nagpur,6400.0
52 Lac ,Ready to Move,Resale,Furnished,,,,5200000.0,1000.0,1.0,2.0,2.0,0.0,nagpur,5200.0
35 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Co-operative Society,3500000.0,736.0,3.0,2.0,0.0,0.0,nagpur,4755.434782608696
1.52 Cr ,Ready to Move,New Property,Unfurnished,,,,15200000.0,2948.0,,5.0,0.0,1.0,nagpur,5156.037991858888
1.80 Cr ,Ready to Move,New Property,Unfurnished,,,,18000000.0,3524.0,,4.0,0.0,1.0,nagpur,5107.83200908059
45 Lac ,Ready to Move,Resale,Semi-Furnished,East,,Freehold,4500000.0,931.0,2.0,2.0,2.0,1.0,nagpur,4833.512352309344
48.2 Lac ,Ready to Move,New Property,Unfurnished,,,,4820000.0,1071.0,,2.0,0.0,0.0,nagpur,4500.46685340803
1.35 Cr ,Ready to Move,Resale,Furnished,North,Main Road,Freehold,13500000.0,1200.0,3.0,3.0,4.0,0.0,nagpur,11250.0
25 Lac ,Ready to Move,Resale,Unfurnished,,,,2500000.0,650.0,2.0,2.0,0.0,0.0,nagpur,3846.153846153846
75 Lac ,Ready to Move,New Property,Semi-Furnished,East,Main Road,Freehold,7500000.0,828.0,5.0,3.0,3.0,1.0,nagpur,9057.971014492754
29.5 Lac ,Ready to Move,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,2950000.0,885.0,2.0,2.0,3.0,1.0,nagpur,3333.3333333333335
37.5 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3750000.0,1000.0,0.0,2.0,2.0,0.0,nagpur,3750.0
24 Lac ,Ready to Move,Resale,Unfurnished,,,,2400000.0,640.0,0.0,2.0,2.0,0.0,nagpur,3750.0
45 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4500000.0,700.0,2.0,1.0,0.0,0.0,nagpur,6428.571428571428
37 Lac ,Ready to Move,Resale,Semi-Furnished,,,Freehold,3700000.0,965.0,3.0,2.0,2.0,0.0,nagpur,3834.1968911917097
53 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Freehold,5300000.0,1113.0,3.0,2.0,4.0,2.0,nagpur,4761.9047619047615
45 Lac ,Ready to Move,Resale,Furnished,,,,4500000.0,915.0,5.0,2.0,2.0,1.0,nagpur,4918.0327868852455
22 Lac ,Ready to Move,Resale,Furnished,West,Garden/Park,,2200000.0,500.0,4.0,2.0,0.0,0.0,nagpur,4400.0
2.40 Cr ,Ready to Move,New Property,Unfurnished,East,Main Road,Freehold,24000000.0,1850.0,3.0,4.0,3.0,0.0,nagpur,12972.972972972973
1.50 Cr ,Ready to Move,New Property,Unfurnished,,,,15000000.0,2736.0,,5.0,0.0,1.0,nagpur,5482.456140350877
1.26 Cr ,Ready to Move,New Property,Unfurnished,,,,12600000.0,2381.0,,3.0,0.0,1.0,nagpur,5291.894162116758
51 Lac ,Ready to Move,Resale,Unfurnished,North - East,,Freehold,5100000.0,800.0,1.0,2.0,2.0,0.0,nagpur,6375.0
70 Lac ,Ready to Move,Resale,Semi-Furnished,,,,7000000.0,1276.0,5.0,2.0,1.0,0.0,nagpur,5485.8934169279
50.1 Lac ,Ready to Move,New Property,Unfurnished,North,"Garden/Park, Main Road",Freehold,5010000.0,1415.0,4.0,3.0,2.0,0.0,nagpur,3540.6360424028267
50.3 Lac ,Ready to Move,New Property,Unfurnished,North,"Garden/Park, Main Road",Freehold,5030000.0,1438.0,5.0,3.0,1.0,0.0,nagpur,3497.913769123783
65 Lac ,Ready to Move,Resale,Furnished,East,,Freehold,6500000.0,1100.0,1.0,2.0,0.0,1.0,nagpur,5909.090909090909
28 Lac ,Ready to Move,Resale,Unfurnished,,Garden/Park,Freehold,2800000.0,450.0,1.0,1.0,1.0,0.0,nagpur,6222.222222222223
60 Lac ,Ready to Move,Resale,Semi-Furnished,,,,6000000.0,950.0,1.0,2.0,4.0,0.0,nagpur,6315.789473684211
26.5 Lac ,Ready to Move,Resale,Furnished,East,"Pool, Garden/Park",Co-operative Society,2650000.0,535.0,1.0,1.0,2.0,1.0,nagpur,4953.271028037383
40 Lac ,Ready to Move,Resale,Unfurnished,West,Main Road,,4000000.0,944.0,3.0,2.0,2.0,0.0,nagpur,4237.28813559322
60 Lac ,Ready to Move,Resale,Semi-Furnished,,,,6000000.0,1200.0,1.0,4.0,0.0,0.0,nagpur,5000.0
56.7 Lac ,Ready to Move,New Property,Semi-Furnished,West,"Main Road, Garden/Park, Pool",Freehold,5670000.0,954.0,4.0,3.0,2.0,1.0,nagpur,5943.396226415094
1.81 Cr ,Ready to Move,Resale,Furnished,,Main Road,Leasehold,18100000.0,1500.0,2.0,4.0,4.0,2.0,nagpur,12066.666666666666
23.5 Lac ,Ready to Move,Resale,Unfurnished,North,"Pool, Garden/Park",Co-operative Society,2350000.0,625.0,4.0,2.0,2.0,0.0,nagpur,3760.0
31 Lac ,Ready to Move,New Property,Unfurnished,North,"Garden/Park, Main Road",Freehold,3100000.0,680.0,4.0,2.0,2.0,1.0,nagpur,4558.823529411765
42 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4200000.0,805.0,2.0,3.0,3.0,0.0,nagpur,5217.391304347826
49.4 Lac ,Ready to Move,New Property,Unfurnished,North,"Garden/Park, Main Road",Freehold,4940000.0,1412.0,1.0,3.0,1.0,0.0,nagpur,3498.5835694050993
35 Lac ,Ready to Move,Resale,Unfurnished,West,,Freehold,3500000.0,650.0,2.0,2.0,2.0,0.0,nagpur,5384.615384615385
27 Lac ,Ready to Move,Resale,Unfurnished,,,,2700000.0,640.0,1.0,1.0,0.0,0.0,nagpur,4218.75
72 Lac ,Ready to Move,New Property,Unfurnished,West,Main Road,Freehold,7200000.0,1100.0,3.0,2.0,2.0,0.0,nagpur,6545.454545454545
50.6 Lac ,Ready to Move,Resale,Semi-Furnished,,,,5060000.0,892.0,1.0,2.0,3.0,0.0,nagpur,5672.645739910314
50 Lac ,Ready to Move,Resale,Unfurnished,,,,5000000.0,800.0,1.0,2.0,0.0,0.0,nagpur,6250.0
95 Lac ,Ready to Move,Resale,Semi-Furnished,East,,Freehold,9500000.0,1200.0,2.0,2.0,0.0,2.0,nagpur,7916.666666666667
68 Lac ,Ready to Move,Resale,Semi-Furnished,,,,6800000.0,1608.0,4.0,3.0,0.0,0.0,nagpur,4228.855721393034
45 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4500000.0,1100.0,1.0,2.0,2.0,0.0,nagpur,4090.909090909091
32 Lac ,Ready to Move,Resale,Semi-Furnished,,,,3200000.0,750.0,3.0,2.0,1.0,0.0,nagpur,4266.666666666667
55 Lac ,Ready to Move,Resale,Furnished,East,"Garden/Park, Main Road",Freehold,5500000.0,950.0,1.0,2.0,4.0,0.0,nagpur,5789.473684210527
44 Lac ,Ready to Move,Resale,Unfurnished,,,,4400000.0,950.0,2.0,2.0,0.0,0.0,nagpur,4631.578947368421
1 Cr ,Ready to Move,Resale,Unfurnished,West,"Garden/Park, Main Road",Freehold,10000000.0,975.0,4.0,3.0,2.0,0.0,nagpur,10256.410256410256
45 Lac ,Ready to Move,Resale,Furnished,,,,4500000.0,1245.0,15.0,2.0,0.0,0.0,nagpur,3614.4578313253014
41 Lac ,Ready to Move,Resale,Unfurnished,,,,4100000.0,1050.0,2.0,2.0,0.0,0.0,nagpur,3904.7619047619046
35 Lac ,Ready to Move,Resale,Unfurnished,East,,Freehold,3500000.0,1100.0,1.0,2.0,3.0,0.0,nagpur,3181.818181818182
35 Lac ,Ready to Move,Resale,Unfurnished,,,,3500000.0,825.0,3.0,2.0,0.0,0.0,nagpur,4242.424242424242
45 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Co-operative Society,4500000.0,993.0,3.0,2.0,2.0,0.0,nagpur,4531.722054380664
60 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,6000000.0,909.0,5.0,2.0,1.0,0.0,nagpur,6600.660066006601
40.9 Lac ,Ready to Move,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Co-operative Society,4090000.0,950.0,2.0,2.0,2.0,1.0,nagpur,4305.263157894737
46 Lac ,Ready to Move,Resale,Unfurnished,North,Main Road,Freehold,4600000.0,850.0,2.0,2.0,4.0,1.0,nagpur,5411.764705882353
